asset,price,amount_shares,amount_usdc,side,order_type,timestamp,transaction_hash
100047051626368770751428911222043758145300953074613057308429094593654283636050,0.997,12.748,12.709756,BUY,taker,2026-05-27 12:55:49,0xb038e42f7591638297c7a4f8a704cba8341f66b31dd5f7524ee18bdc99f0ee86
100047051626368770751428911222043758145300953074613057308429094593654283636050,0.997,5.0,4.985,BUY,taker,2026-05-27 14:07:08,0x7f31f2541f71993256c3b1cfa2b6bbb9c3085feb38123369823326f359f622dc
100047051626368770751428911222043758145300953074613057308429094593654283636050,0.997,5.0,4.985,BUY,taker,2026-05-27 14:07:08,0x61450030e283c7f49b1a5b27b878c1cdbd4d21f2525b931e2642b2e4bab01b56
100047051626368770751428911222043758145300953074613057308429094593654283636050,0.997,16.048,15.999856,BUY,taker,2026-05-27 15:50:11,0xc1b6e9b65432ef64c2419061f252af47d1b3586b957772e6f5b3be10ae4b6b09
